"id","prediction"
6,194650.159857945
13,85588.1203140385
20,314915.406766644
30,85455.0046266499
37,156144.746263765
67,147783.995974552
77,190746.445519168
82,456560.248653006
103,434208.565716405
119,101367.646971
123,337284.182485691
128,211306.496918134
141,352796.371259476
153,420501.755585122
158,129917.416537581
160,183543.49200594
173,346100.457733103
178,932583.566924326
181,284105.168713245
189,82491.4893999227
190,166467.065180062
206,130472.848084663
217,109891.072971595
227,255434.282500406
228,244579.679116463
268,347431.731973714
271,319041.785347565
275,162190.047885117
278,137277.508971762
285,178276.697962275
301,152711.680898769
328,509932.463525424
331,207588.711877231
335,840059.713295836
348,330935.972310051
349,122105.423304209
352,410357.944389972
374,173902.141812619
386,273339.710704683
393,195116.698968169
401,370502.87519664
422,333852.177173737
423,382269.804721871
460,342316.369706266
471,173493.83657458
475,659128.409640815
479,160217.054314665
482,139554.976286393
502,174471.191489806
559,130841.327718919
567,206811.89500385
574,109465.061192712
575,293641.084919274
577,93570.279381357
586,214954.664342096
596,93572.8487754562
599,382590.54202749
601,48937.836600965
602,90564.2206338172
603,78246.8628387044
604,192040.757973554
611,299976.230781178
637,152804.91622802
641,117455.812909685
647,180600.944828188
657,401173.259809823
666,60823.9376765316
687,558531.758531559
715,124129.649714354
738,214650.970429732
754,195702.646003323
788,248819.647286972
789,80139.5333577842
791,329585.192580195
793,63084.4339733363
794,288588.620701832
803,129886.713520401
816,88468.3473404385
828,602119.220146333
839,401640.220364112
840,153694.217344403
841,579096.247339775
851,294057.772966119
852,165946.973727588
853,131894.419789752
859,280641.722764672
868,157035.517781306
871,217556.838130207
873,310456.773528644
892,175320.270376879
897,387489.490008208
915,129487.643127187
917,174805.720573019
936,344272.413924333
951,178484.772768476
952,36865.2313904391
954,244535.196360868
977,186502.345601549
993,82557.0008131055
995,335867.532886192
997,194653.984214826
1022,138616.152315244
1033,227104.485898649
1045,221456.115137086
1053,184730.330041729
1055,78005.8776025122
1058,346906.133206477
1065,214317.812932364
1087,263274.049744797
1092,704911.360099846
1095,821184.556865838
1112,111361.063649487
1118,113054.4107414
1131,477485.582451835
1132,142345.619202937
1135,321309.432717671
1150,22000.5991400461
1155,208520.891671339
1185,136521.385387105
1187,168763.127809196
1208,88031.5255833856
1222,79800.5376113496
1224,193410.299077346
1245,187406.970872402
1250,617204.092385251
1254,256196.766425778
1262,104889.541018046
1267,231749.003563134
1285,98806.3636124576
1295,604931.441443479
1334,273751.915902212
1343,201398.658066976
1344,108999.864578216
1362,189663.048449768
1376,377561.476618049
1379,278400.479904596
1387,358614.261020771
1389,324289.243340213
1414,114367.575058998
1425,83803.9662677309
1429,62460.1500335274
1434,427749.234549643
1447,190916.411788489
1480,75111.5089726986
1487,68426.9695872919
1512,330633.541998061
1532,129100.350432259
1537,131348.763342287
1540,97561.7427251386
1548,79492.9454365466
1584,93682.9415201291
1588,508155.935130521
1590,162364.266720617
1591,340553.44336709
1594,63407.6013258655
1604,261446.378905463
1617,74866.0246838862
1618,33392.9189923636
1621,331339.908847175
1622,160903.622039619
1629,272091.468942301
1643,124481.998782084
1644,239026.89511763
1646,248671.49586998
1666,173854.251774399
1670,172216.40725225
1687,262066.985028858
1691,82253.6335919629
1715,141189.86754689
1716,128619.066266759
1722,138923.169472722
1738,134836.504387501
1743,151854.297631482
1748,132931.354166178
1750,208725.817150029
1751,72501.8794323718
1758,276548.973372569
1778,187375.460442797
1782,110872.579195135
1784,400195.452391074
1792,347970.829177685
1808,647255.770116664
1809,252761.860095899
1813,132866.947578983
1816,808061.638856272
1837,515183.122724192
1846,99687.7768846974
1848,83341.4731093263
1852,73315.7150904105
1858,155718.162816807
1871,205471.264974745
1881,168378.278502598
1885,244577.218527807
1902,139622.475949895
1905,170595.724770157
1915,344474.402991168
1944,475118.368017147
1950,219455.678108227
1959,181298.672906958
1965,409390.325063286
1992,195021.205063849
2015,214580.214018012
2018,137640.258974975
2019,157775.346195283
2048,108366.052544825
2066,266818.689262721
2091,257800.539442429
2094,515493.476268728
2097,155170.604963019
2098,168143.584242554
2101,224994.457733417
2113,261084.576464338
2122,456876.028052579
2124,116143.81119515
2126,102062.049794054
2129,154369.608168987
2134,63605.7002912283
2139,163068.277997157
2147,253959.379358888
2156,246951.455065086
2161,108605.010128552
2165,84411.8754748847
2167,230290.962671014
2175,236735.140477063
2193,194773.198996812
2196,225065.192951381
2201,45377.7604046541
2212,199764.559439204
2216,153345.253686621
2220,117730.895266039
2231,145827.351232102
2236,568368.181508674
2238,236135.892441863
2240,133207.656063454
2241,60342.7289557527
2250,162130.909216016
2260,383757.818387796
2265,174379.419561496
2275,351986.322349012
2280,188635.350342303
2283,138073.644049853
2292,392236.491858166
2303,64847.6003426319
2372,285794.164474184
2373,671321.475622864
2404,170797.888008827
2409,454500.03783927
2410,122862.626014067
2422,35131.4864701591
2435,319317.106517777
2437,595423.942674106
2440,113902.526182589
2446,249358.750672195
2454,239704.929238278
2457,275957.741497069
2467,165431.870941231
2475,240104.333697867
2477,215277.462097971
2484,90437.831889147
2486,41481.4150361207
2493,238573.373352477
2502,172207.560767679
2518,416588.824281638
2522,147018.553853693
2539,142580.30987228
2540,186868.029074887
2549,507160.284140935
2554,769173.391697292
2559,355029.610923888
2562,302545.873763064
2565,196346.251840308
2585,150598.872063334
2587,75060.7559529185
2589,468815.196258553
2620,261025.692108715
2623,41280.8961160543
2635,411587.497262111
2645,160286.579907807
2646,379904.189675708
2664,157700.898296992
2698,1051428.41520535
2705,454225.218740064
2711,46374.2976146868
2712,118961.101506172
2713,176650.049881228
2720,286363.071201693
2728,243252.259213382
2740,127240.961665933
2742,219936.155921083
2746,199759.251848218
2750,374905.836576618
2764,84282.3577548817
2768,200775.623663577
2789,206244.161289342
2790,145874.636756027
2793,318463.319529801
2797,111861.092979215
2802,397795.912179934
2803,337318.387089603
2813,337711.862194401
2814,139469.003117223
2832,82997.0478469003
2849,548793.866555837
2863,123632.214829519
2875,248527.440796076
2878,876433.985763293
2889,78662.3389194611
2893,107346.713056236
2896,266732.308874324
2902,212574.171060032
2920,60106.2751895646
2934,1125846.18735707
2936,177128.07086751
2958,155285.387875102
2959,217708.120120502
2961,173497.746099848
2976,57247.7814747091
2980,91695.3342587649
3006,442232.617637089
3010,435634.127802219
3011,231416.77193611
3015,419011.001040607
3025,463945.957067381
3042,227109.111768619
3045,177829.231866161
3089,217447.731249402
3090,177503.473789374
3093,109938.058726678
3097,100320.538432111
3104,439438.015155562
3106,444048.838426085
3133,1230020.9698836
3139,61511.1161950891
3143,1342934.90864174
3145,158634.118865401
3151,44281.1182657642
3173,146790.428378176
3184,192906.57909196
3196,255331.819761061
3210,99765.2998164547
3212,253574.437859696
3214,145251.852831303
